school,homepage,name,areas
DIKU,http://diku.dk/Ansatte/?pure=da/persons/147590,Mikkel R. Jakobsen,"[""chi""]"
Massachusetts Institute of Technology,http://www.rle.mit.edu/cpg/people_faculty.htm,Jacob K. White,"[""da""]"
University of Washington,http://homes.cs.washington.edu/~pedrod/,Pedro M. Domingos,"[""ai"",""nlp"",""ir"",""mlmining"",""mod""]"
University of Montreal,https://en.wikipedia.org/wiki/Gilles_Brassard,Gilles Brassard,"[""crypt"",""mlmining"",""act""]"
New York University,http://www.mzahran.com/,Mohamed Zahran,
University of Massachusetts - Lowell,http://www.google.com/search?q=John%20Sieg%20University%20of%20Massachusetts%20-%20Lowell&btnI,John Sieg,
Columbia University,http://www.cs.columbia.edu/~tal/,Tal Malkin,"[""crypt"",""act"",""sec"",""mod""]"
Purdue University,https://www.cs.purdue.edu/homes/ake/,Ahmed K. Elmagarmid,"[""mod""]"
Brandeis University,http://www.cs.brandeis.edu/~tim/,Timothy J. Hickey,"[""plan""]"
Polytechnic University of Catalonia,https://www.researchgate.net/profile/Jordi_Guitart,Jordi Guitart,"[""hpc"",""ops""]"
University College London,http://cmic.cs.ucl.ac.uk/staff/dave_hawkes/,David J. Hawkes,"[""vision""]"
ETH Zurich,http://www.lst.inf.ethz.ch/people/trg.html,Thomas R. Gross,"[""ops"",""sec"",""plan"",""hpc"",""comm"",""soft"",""mod""]"
ETH Zurich,http://www.ml.inf.ethz.ch/,Joachim M. Buhmann,"[""ai"",""bio"",""sec"",""vision"",""mlmining""]"
TU Dresden,http://www.inf.tu-dresden.de/index.php?node_id=937,Gerhard Weber,
University of Texas - Austin,https://www.cs.utexas.edu/users/plaxton/,C. Greg Plaxton,"[""act""]"
University of Bristol,http://www.bris.ac.uk/engineering/people/kerstin-i-eder/index.html,Kerstin Eder,"[""robotics"",""da""]"
Australian National University,https://cs.anu.edu.au/~Eric.McCreath/,Eric C. McCreath,
University of Texas - Austin,http://www.cs.utexas.edu/~bajaj/,Chandrajit Bajaj,
